Date,Price_X,Price_Y,Price_Z,Price_Equipo1,Price_Equipo2
2015-06-30,63.75272727272727,348.6363636363636,1683.1931818181818,290.5954545454546,703.9250000000001
2015-07-31,56.764347826086954,319.2391304347826,1637.75,266.8473913043478,672.7982608695653
2015-08-31,48.205714285714286,306.54761904761904,1541.25,256.1585714285714,631.837619047619
2015-09-30,48.53954545454545,287.15909090909093,1588.4886363636363,240.74272727272728,641.3759090909091
2015-10-31,49.29272727272728,270.5681818181818,1523.6477272727273,225.40318181818182,613.8222727272728
2015-11-30,45.93238095238095,262.9761904761905,1465.3809523809523,219.33190476190478,592.3433333333332
2015-12-31,38.86,259.45652173913044,1497.9673913043478,214.86608695652174,599.0891304347825
2016-01-31,32.18047619047619,271.3095238095238,1478.4404761904761,224.31809523809525,588.6661904761904
2016-02-29,33.52714285714286,275.5952380952381,1535.2261904761904,227.05047619047622,615.4557142857143
2016-03-31,39.81826086956522,325.10869565217394,1525.2173913043478,266.34956521739133,630.344347826087
2016-04-30,43.33952380952381,412.5,1563.952380952381,339.1380952380952,673.2633333333333
2016-05-31,47.64681818181818,392.27272727272725,1558.8863636363637,323.7940909090909,666.4286363636364
2016-06-30,49.92727272727273,334.4318181818182,1591.8295454545455,278.79,661.785
2016-07-31,46.53476190476191,357.9761904761905,1629.4642857142858,295.39666666666665,675.3628571428571
2016-08-31,47.15913043478261,380.9782608695652,1640.5217391304348,313.12260869565216,692.4952173913043
2016-09-30,47.24045454545455,387.3863636363636,1589.6818181818182,319.14863636363634,673.79
2016-10-31,51.387619047619054,387.5,1663.5714285714287,318.9014285714286,698.5114285714286
2016-11-30,47.07863636363636,457.72727272727275,1734.8636363636363,377.6363636363636,748.2822727272727
2016-12-31,54.92727272727273,503.52272727272725,1729.8863636363637,411.4309090909091,759.9504545454546
2017-01-31,55.51,492.5,1786.3295454545455,404.1290909090909,779.8922727272728
2017-02-28,55.996500000000005,502.25,1856.4375,414.1085,806.537
2017-03-31,52.53869565217392,497.7173913043478,1901.108695652174,410.7908695652174,818.684347826087
2017-04-30,53.9225,442.0,1929.075,365.5685,803.61
2017-05-31,51.39043478260869,430.9782608695652,1914.7173913043478,354.90608695652173,799.1417391304349
2017-06-30,47.553636363636365,442.84090909090907,1886.25,364.20363636363635,789.1540909090909
2017-07-31,49.14857142857144,483.92857142857144,1903.2261904761904,397.0966666666667,813.7138095238096
2017-08-31,51.87,538.2608695652174,2032.2934782608695,440.0647826086956,871.0360869565217
2017-09-30,55.514761904761905,576.1904761904761,2100.1428571428573,470.45904761904757,911.6328571428572
2017-10-31,57.64909090909091,561.6918181818181,2130.0227272727275,460.26181818181817,913.110909090909
2017-11-30,62.86590909090909,549.0536363636364,2100.568181818182,451.61045454545456,908.2527272727274
2017-12-31,64.14714285714285,574.0223809523809,2082.654761904762,471.8304761904762,907.62
2018-01-31,68.98260869565217,573.1321739130434,2215.9021739130435,472.35434782608695,953.1121739130435
2018-02-28,65.7305,590.9069999999999,2184.5875,489.27049999999997,944.3115
2018-03-31,66.8809090909091,593.9486363636364,2073.1136363636365,490.2904545454545,910.1327272727274
2018-04-30,71.76238095238095,582.2838095238095,2234.5238095238096,480.8309523809524,963.7019047619046
2018-05-31,77.00652173913043,588.1282608695652,2292.771739130435,484.87130434782614,984.8134782608695
2018-06-30,75.94142857142857,593.9347619047619,2239.9523809523807,492.4185714285714,967.8890476190476
2018-07-31,74.95181818181818,580.3481818181818,2098.284090909091,480.4690909090909,918.8681818181817
2018-08-31,73.84173913043477,573.0782608695652,2046.9565217391305,472.16391304347826,902.2339130434783
2018-09-30,79.1095,569.519,2022.5,472.6355,891.0809999999999
2018-10-31,80.6295652173913,549.885652173913,2033.858695652174,456.8704347826087,889.4921739130434
2018-11-30,65.94909090909091,507.1945454545455,1937.2272727272727,414.8636363636364,836.6163636363636
2018-12-31,57.331428571428575,479.39952380952377,1927.8095238095239,395.04571428571427,822.2509523809524
2019-01-31,59.960869565217386,484.96869565217395,1846.0326086956522,398.3352173913043,794.6904347826087
2019-02-28,64.4315,511.7195,1859.225,420.96750000000003,814.316
2019-03-31,67.02761904761904,533.1833333333334,1871.8809523809523,441.79333333333335,824.7166666666666
2019-04-30,71.6440909090909,529.985,1849.125,436.08272727272725,816.8972727272728
2019-05-31,70.30304347826088,516.6652173913043,1774.4891304347825,426.3239130434783,784.5982608695651
2019-06-30,63.038,492.495,1753.7125,405.893,774.5925
2019-07-31,64.21478260869566,507.27565217391304,1792.5108695652175,419.9904347826087,786.2521739130434
2019-08-31,59.50181818181818,481.55727272727273,1740.75,398.12545454545455,760.2081818181817
2019-09-30,62.287142857142854,459.2733333333333,1749.2261904761904,382.35999999999996,756.1933333333333
2019-10-31,59.632173913043474,440.9213043478261,1718.4782608695652,365.5186956521739,741.8443478260871
2019-11-30,62.709523809523816,445.07047619047614,1771.9761904761904,367.91809523809525,756.3238095238095
2019-12-31,65.26590909090909,471.7918181818182,1771.7386363636363,390.5377272727273,768.2818181818183
2020-01-31,63.77391304347826,491.8895652173913,1771.4347826086957,406.0617391304348,775.4413043478262
2020-02-29,55.4775,466.49800000000005,1685.4625,382.7435,734.645
2020-03-31,33.72909090909091,445.83909090909094,1610.9204545454545,363.94772727272726,692.3695454545455
2020-04-30,26.85181818181818,406.4359090909091,1457.0454545454545,330.095,627.2640909090909
2020-05-31,32.41190476190476,417.637619047619,1460.7857142857142,338.3752380952381,634.8404761904761
2020-06-30,40.77272727272727,441.49545454545455,1564.0227272727273,360.7872727272727,684.1731818181818
2020-07-31,43.22217391304348,465.8004347826087,1639.3478260869565,380.4769565217391,714.8439130434782
2020-08-31,45.019999999999996,505.49142857142857,1736.1666666666667,414.45238095238096,765.4576190476191
2020-09-30,41.873636363636365,514.0381818181818,1745.340909090909,418.70454545454544,768.8368181818182
2020-10-31,41.52409090909091,510.14045454545453,1802.8181818181818,417.545,784.3254545454546
2020-11-30,43.980000000000004,550.9061904761905,1932.1190476190477,451.2285714285714,839.1242857142857
2020-12-31,50.26478260869565,645.4386956521739,2016.3478260869565,526.3317391304347,904.3869565217392
2021-01-31,55.15380952380953,650.0128571428571,2004.2619047619048,530.1600000000001,904.5995238095238
2021-02-28,62.28150000000001,660.563,2079.6,542.3720000000001,936.793
2021-03-31,65.70217391304347,724.8343478260869,2191.586956521739,591.8439130434782,997.4499999999999
2021-04-30,65.30727272727273,861.0113636363636,2316.7727272727275,699.7995454545454,1080.675
2021-05-31,68.30904761904762,956.7280952380953,2435.190476190476,781.5571428571429,1157.1442857142856
2021-06-30,73.40818181818182,895.5763636363637,2439.090909090909,737.1372727272727,1130.3604545454546
2021-07-31,74.29363636363637,899.9022727272727,2491.9545454545455,737.4018181818182,1158.0031818181817
2021-08-31,70.51363636363637,917.2563636363636,2615.340909090909,747.4540909090908,1200.6963636363637
2021-09-30,74.87636363636364,922.5240909090909,2839.4204545454545,751.2213636363635,1274.8622727272727
2021-10-31,83.74619047619048,907.6661904761905,2954.8214285714284,739.7109523809524,1314.7342857142855
2021-11-30,80.84954545454546,791.5054545454545,2641.0454545454545,650.1122727272727,1167.4863636363636
2021-12-31,74.80391304347826,772.92,2707.032608695652,632.9491304347827,1185.428695652174
2022-01-31,85.57238095238095,761.3161904761904,2993.7023809523807,623.5885714285714,1285.1104761904762
2022-02-28,94.1015,804.431,3260.2625,664.4885,1379.9540000000002
2022-03-31,112.46304347826087,858.9956521739131,3537.282608695652,710.5243478260869,1499.6308695652174
2022-04-30,106.19238095238094,853.42,3261.309523809524,699.8004761904763,1411.434761904762
2022-05-31,111.95954545454546,768.9854545454546,2829.818181818182,640.4827272727273,1233.5272727272727
2022-06-30,117.50318181818183,714.9245454545454,2578.806818181818,591.914090909091,1135.7927272727272
2022-07-31,105.12380952380951,611.1747619047619,2401.0714285714284,508.2633333333334,1040.4738095238095
2022-08-31,97.34565217391304,596.3769565217391,2429.836956521739,493.7391304347826,1040.2595652173914
2022-09-30,90.23318181818182,563.7527272727273,2229.5113636363635,470.91181818181815,962.7881818181818
2022-10-31,92.92142857142856,551.0185714285714,2242.9166666666665,458.0190476190476,961.8004761904763
2022-11-30,90.85181818181819,534.5213636363636,2334.8863636363635,447.81590909090914,985.7218181818182
2022-12-31,81.74227272727272,584.8368181818182,2389.75,483.33363636363634,1017.7477272727273
2023-01-31,83.99772727272727,630.9586363636364,2481.715909090909,521.9618181818182,1062.5263636363636
2023-02-28,83.5,629.6085,2416.7875,521.1535,1040.9119999999998
2023-03-31,79.12565217391305,641.4669565217391,2289.6847826086955,527.7878260869566,1002.4273913043478
2023-04-30,83.4565,604.575,2333.3,503.73150000000004,1008.6135
2023-05-31,75.69478260869565,550.5939130434782,2271.586956521739,457.46869565217395,964.0182608695651
2023-06-30,74.97863636363637,541.7759090909091,2180.7386363636365,449.97590909090906,931.1854545454546
2023-07-31,80.16,554.3576190476191,2152.0119047619046,460.8723809523809,929.8104761904763
2023-08-31,85.10434782608696,556.3039130434782,2133.021739130435,461.03521739130434,927.6608695652175
